code,name,exchange,weight_percent
000300,沪深300,深圳证券交易所,0.549
000300,沪深300,深圳证券交易所,0.203
000300,沪深300,深圳证券交易所,0.511
000300,沪深300,深圳证券交易所,0.402
000300,沪深300,深圳证券交易所,0.169
000300,沪深300,深圳证券交易所,0.221
000300,沪深300,深圳证券交易所,0.109
000300,沪深300,深圳证券交易所,1.596
000300,沪深300,深圳证券交易所,0.379
000300,沪深300,深圳证券交易所,0.167
000300,沪深300,深圳证券交易所,0.319
000300,沪深300,深圳证券交易所,0.231
000300,沪深300,深圳证券交易所,0.418
000300,沪深300,深圳证券交易所,0.104
000300,沪深300,深圳证券交易所,0.101
000300,沪深300,深圳证券交易所,0.295
000300,沪深300,深圳证券交易所,0.124
000300,沪深300,深圳证券交易所,0.945
000300,沪深300,深圳证券交易所,0.159
000300,沪深300,深圳证券交易所,0.06
000300,沪深300,深圳证券交易所,0.686
000300,沪深300,深圳证券交易所,0.183
000300,沪深300,深圳证券交易所,0.262
000300,沪深300,深圳证券交易所,0.122
000300,沪深300,深圳证券交易所,0.309
000300,沪深300,深圳证券交易所,0.032
000300,沪深300,深圳证券交易所,0.15
000300,沪深300,深圳证券交易所,1.087
000300,沪深300,深圳证券交易所,0.101
000300,沪深300,深圳证券交易所,0.119
000300,沪深300,深圳证券交易所,0.229
000300,沪深300,深圳证券交易所,0.18
000300,沪深300,深圳证券交易所,0.138
000300,沪深300,深圳证券交易所,0.266
000300,沪深300,深圳证券交易所,0.093
000300,沪深300,深圳证券交易所,0.097
000300,沪深300,深圳证券交易所,0.012
000300,沪深300,深圳证券交易所,0.027
000300,沪深300,深圳证券交易所,0.106
000300,沪深300,深圳证券交易所,0.146
000300,沪深300,深圳证券交易所,0.159
000300,沪深300,深圳证券交易所,0.351
000300,沪深300,深圳证券交易所,0.225
000300,沪深300,深圳证券交易所,0.219
000300,沪深300,深圳证券交易所,0.274
000300,沪深300,深圳证券交易所,0.146
000300,沪深300,深圳证券交易所,0.122
000300,沪深300,深圳证券交易所,0.426
000300,沪深300,深圳证券交易所,0.224
000300,沪深300,深圳证券交易所,0.108
000300,沪深300,深圳证券交易所,0.521
000300,沪深300,深圳证券交易所,0.149
000300,沪深300,深圳证券交易所,0.26
000300,沪深300,深圳证券交易所,0.169
000300,沪深300,深圳证券交易所,0.188
000300,沪深300,深圳证券交易所,0.217
000300,沪深300,深圳证券交易所,0.512
000300,沪深300,深圳证券交易所,0.671
000300,沪深300,深圳证券交易所,0.48
000300,沪深300,深圳证券交易所,0.195
000300,沪深300,深圳证券交易所,0.102
000300,沪深300,深圳证券交易所,0.188
000300,沪深300,深圳证券交易所,0.35
000300,沪深300,深圳证券交易所,0.183
000300,沪深300,深圳证券交易所,0.859
000300,沪深300,深圳证券交易所,0.128
000300,沪深300,深圳证券交易所,1.322
000300,沪深300,深圳证券交易所,0.117
000300,沪深300,深圳证券交易所,0.132
000300,沪深300,深圳证券交易所,0.152
000300,沪深300,深圳证券交易所,0.117
000300,沪深300,深圳证券交易所,0.586
000300,沪深300,深圳证券交易所,0.177
000300,沪深300,深圳证券交易所,0.175
000300,沪深300,深圳证券交易所,0.13
000300,沪深300,深圳证券交易所,0.17
000300,沪深300,深圳证券交易所,0.134
000300,沪深300,深圳证券交易所,0.251
000300,沪深300,深圳证券交易所,0.277
000300,沪深300,深圳证券交易所,0.282
000300,沪深300,深圳证券交易所,1.358
000300,沪深300,深圳证券交易所,0.133
000300,沪深300,深圳证券交易所,0.553
000300,沪深300,深圳证券交易所,0.483
000300,沪深300,深圳证券交易所,0.894
000300,沪深300,深圳证券交易所,0.084
000300,沪深300,深圳证券交易所,0.163
000300,沪深300,深圳证券交易所,0.228
000300,沪深300,深圳证券交易所,0.205
000300,沪深300,深圳证券交易所,0.076
000300,沪深300,深圳证券交易所,0.146
000300,沪深300,深圳证券交易所,0.21
000300,沪深300,深圳证券交易所,0.151
000300,沪深300,深圳证券交易所,0.426
000300,沪深300,深圳证券交易所,0.868
000300,沪深300,深圳证券交易所,0.078
000300,沪深300,深圳证券交易所,0.142
000300,沪深300,深圳证券交易所,3.233
000300,沪深300,深圳证券交易所,0.127
000300,沪深300,深圳证券交易所,0.648
000300,沪深300,深圳证券交易所,0.129
000300,沪深300,深圳证券交易所,0.101
000300,沪深300,深圳证券交易所,0.129
